File solutions-new/moba/ils/solution9.csv
elapsed_time;max_gen_reached
3686.181075;False
alpha;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;time;verbose
3;0.75;2;10;10;en;300;0.2;6;c;3;200;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193854;0;1;0;1;0;1;0;0;0
0.189661;0;1;0;0;0;1;0;0;1
0.137058;1;1;0;0;0;1;0;1;0
0.135377;1;1;1;0;0;1;0;0;0
0.124079;0;1;1;0;0;1;1;0;0
0.112022;0;1;0;0;0;1;0;1;0
0.098710;0;1;1;0;0;1;0;0;0
0.090724;0;1;0;0;0;1;1;0;0
0.086303;1;1;0;1;0;0;0;0;0
0.083538;1;1;0;0;0;0;0;0;1
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.12513;0.03798;119;1;0;266;6182;266
