File solutions/grasp/wine/solution2.csv
elapsed_time;max_gen_reached
60.446414;True
alpha;const;corr_threshold;dt;elsize;intensification_threshold;k;lang;max_iter;max_local_search;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;1;10;80;3;en;300;50;0.2;6;c;3;5;60;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.441613;0;0;0;1;1;0;1;1;0;0;1;0
0.437009;1;0;0;1;0;0;0;0;0;1;1;1
0.435271;1;0;0;0;0;0;0;1;0;1;1;1
0.435160;1;0;0;1;0;1;0;1;0;0;1;1
0.433891;0;1;1;1;0;0;1;1;0;0;1;0
0.432501;1;0;0;1;0;1;0;1;0;1;0;1
0.430752;1;1;0;0;0;1;0;1;0;0;1;1
0.430018;1;0;0;1;0;1;0;1;0;1;1;0
0.428128;1;0;0;1;0;0;1;0;0;1;1;0
0.428128;1;0;0;1;0;0;1;0;0;0;1;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.43325;0.00402;19;15;393;1495;393
