File solutions-new/moba/ga/solution6.csv
elapsed_time;max_gen_reached
859.529488;True
corr_threshold;dt;elsize;generation_size;k;k_tournament;lang;max_iter;maxs;metric;mins;mutation_prob;population_size;seed;selected_size;time;verbose
0.75;2;10;50;10;0.75;en;300;6;c;3;0.01;30;80;0.5;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.136374;1;1;0;0;0;1;0;1;0
0.119437;1;1;0;0;0;1;0;0;1
0.089984;1;1;0;0;0;1;1;1;0
0.087377;1;1;0;1;0;0;0;0;0
0.080491;1;1;0;0;0;0;0;0;1
0.051257;1;1;1;0;0;0;0;0;0
0.047016;1;1;0;0;0;0;1;1;0
0.043087;1;1;0;0;0;0;0;1;0
-0.017072;1;1;0;0;0;0;1;0;0
-0.028119;1;1;0;0;0;1;0;0;0
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.06098;0.05066;51;3;718.928982257843;62;2280;62
