File solutions/ga/moba/solution5.csv
elapsed_time;max_gen_reached
992.253620;True
corr_threshold;dt;elsize;generation_size;k;k_tournament;lang;max_iter;maxs;metric;mins;mutation_prob;population_size;seed;selected_size;time;verbose
0.75;2;10;50;10;0.75;en;300;6;c;3;0.01;30;50;0.5;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193854;0;1;0;1;0;1;0;0;0
0.191671;0;1;0;0;0;1;0;0;1
0.134234;1;1;0;0;0;1;0;1;0
0.130928;1;1;0;0;0;1;0;0;1
0.112082;0;1;0;0;0;1;0;1;0
0.104378;0;1;0;0;0;1;1;1;0
0.097390;0;1;1;0;0;1;0;0;0
0.094952;1;1;0;0;0;1;1;1;0
0.088529;0;1;0;0;0;1;1;0;0
0.059964;1;1;0;0;0;1;1;0;0
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.1208;0.04117;51;43;936.8935334682465;71;2280;71
