File solutions-new/moba/grasp/solution10.csv
elapsed_time;max_gen_reached
751.951877;False
alpha;const;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;2;10;10;en;300;0.2;6;c;3;1000;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193657;0;1;0;1;0;1;0;0;0
0.192738;0;1;0;0;0;1;0;0;1
0.180208;0;1;1;1;0;1;0;0;0
0.167492;0;1;1;0;0;1;0;0;1
0.160890;1;1;0;1;0;1;0;0;0
0.156890;1;1;1;1;0;1;0;0;0
0.137150;1;1;0;0;0;1;0;1;0
0.136980;1;1;1;0;0;1;0;0;1
0.135291;1;1;1;0;0;1;0;0;0
0.125079;1;1;0;0;0;1;0;0;1
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.15864;0.02354;62;1;171;5482;171
