File solutions-new/moba/grasp/solution9.csv
elapsed_time;max_gen_reached
2634.781202;False
alpha;const;corr_threshold;dt;elsize;intensification_threshold;k;lang;max_iter;max_local_search;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;2;10;80;10;en;300;50;0.2;6;c;3;200;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.095310;0;1;1;1;0;1;0;0;0
0.082958;0;1;1;0;0;1;0;0;1
0.073385;0;1;1;0;0;1;1;0;0
0.062206;0;1;1;0;1;1;0;0;0
0.058477;0;1;0;0;0;1;1;1;0
0.056827;1;1;0;0;0;1;0;1;0
-0.022866;1;1;0;0;0;1;0;0;0
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.05804;0.03548;61;1;262.3468141555786;191;4380;191
