BEST_AVG,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,1.0,1.0,1.0,1.0
ILS,1.0,1.0,1.0,1.0,1.0
GA,1.0,1.0,1.0,1.0,1.0
GVNS,1.0,1.0,1.0,1.0,1.0
GVNS-INV,1.0,1.0,1.0,1.0,1.0
,,,
BEST_STD,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,nan,nan,nan,nan,nan
ILS,nan,nan,nan,nan,nan
GA,nan,nan,nan,nan,nan
GVNS,nan,nan,nan,nan,nan
GVNS-INV,nan,nan,nan,nan,nan
,,,
AVG_ALL,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,0.9991622710323197,1.0286335985768968,1.0011795169082127,1.0054851305299601
ILS,1.0008384313459062,1.0,1.029496037229396,1.0020189371980677,1.006328160781239
GA,0.97216346168693,0.9713490521937546,1.0,0.9733101449275363,0.9774959051707407
GVNS,0.9988218727128425,0.9979851306965184,1.0274217372659264,1.0,1.0043005410608519
GVNS-INV,0.9945447919979988,0.9937116330160866,1.0230221883388129,0.9957178743961353,1.0
,,,
STD_ALL,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,1.0018625442354256,0.7187813189015835,0.950395335483016,0.9187019641332195
ILS,0.998140918386317,1.0,0.7174450457673548,0.9486284729890896,0.916994022203245
GA,1.3912437255995538,1.3938349785807413,1.0,1.322231547329829,1.2781383432963278
GVNS,1.0521937163041457,1.0541534736449991,0.7562971871450525,1.0,0.9666524338172502
GVNS-INV,1.0884922848113032,1.0905196498416838,0.7823879200908666,1.034497990193913,1.0
,,,
TIME_AVG,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,0.6461117497008536,0.439039743002688,0.1614581436735099,0.22243834787486041
ILS,1.5477198804432746,1.0,0.6795105385499662,0.24989197882295783,0.3442722531788785
GA,2.2776981262807396,1.4716475216616045,1.0,0.36775291131792,0.5066474081675529
GVNS,6.193555662464041,4.0017290859442705,2.7192170863210556,1.0,1.3776842890294878
GVNS-INV,4.495627707874278,2.9046778843382874,1.9737592335008864,0.7258557043605772,1.0
,,,
TIME_STD,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,0.6199295491859526,0.1990086818660513,0.06021930265047567,0.07559105268142383
ILS,1.6130865213847752,1.0,0.3210182223566781,0.09713894543267276,0.12193490821769123
GA,5.024906404199389,3.115087961856933,1.0,0.3025963595447964,0.37983796471905995
GVNS,16.60597110870232,10.294532183212782,3.304732421448579,1.0,1.255262836904119
GVNS-INV,13.229078899251071,8.201096918158113,2.6327015540419487,0.7966459060210218,1.0
,,,
HASH_SIZE_AVG,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,0.5866875762327932,2.5741590214067274,0.8954787234042553,1.236503856041131
ILS,1.7044847044847045,1.0,4.387614678899082,1.5263297872340424,2.107601909658465
GA,0.38847638847638855,0.22791427077888138,1.0,0.34787234042553195,0.4803525523319868
GVNS,1.1167211167211168,0.6551664052970901,2.874617737003058,1.0,1.380829966948219
GVNS-INV,0.8087318087318088,0.4744729046872278,2.0818042813455655,0.7242021276595745,1.0
,,,
HASH_SIZE_STD,GRASP,ILS,GA,GVNS,GVNS-INV
GRASP,1.0,0.7672508305934621,1.3640525749914887,0.42784257814244897,0.5282866181989537
ILS,1.3033547311073075,1.0,1.777844377094262,0.5576306483911088,0.6885448632102861
GA,0.7331095724123682,0.5624789283494073,1.0,0.313655489521816,0.38729197677901095
GVNS,2.337308278997545,1.7933017184138416,3.1882113765155258,1.0,1.2347686864000296
GVNS-INV,1.8929118504065499,1.4523381894646326,2.582031283778958,0.809868286274332,1.0
